986,412,324,424
434,477,76,49,0
341,370,6,45,0
357,265,110,51,0
767,213,129,7,0
1151,205,160,1,0
1448,205,66,19,0
1610,314,36,72,0
1673,538,1,49,0
1649,662,22,105,0
1619,853,8,33,0
1562,920,56,26,0
1313,964,72,3,0
1118,955,102,1,0
935,945,30,6,0
826,906,75,24,0
616,825,51,29,0
497,690,11,29,0
671,510,52,40,0
750,400,29,66,0
674,306,65,35,0
488,247,43,20,0
241,111,70,21,0
113,94,8,24,0
194,559,9,166,0
187,812,10,47,0
175,910,260,45,0
903,979,341,4,0
1608,934,210,71,0
1890,250,43,510,0
1485,0,265,85,0
1120,0,258,0,0
694,0,77,0,0
575,13,23,21,0
892,45,366,4,0
1099,50,324,87,0
649,190,129,42,0
481,286,74,69,0
382,467,24,87,0
410,664,77,34,0
662,739,47,13,0
773,809,24,38,0
772,880,9,4,0
736,901,13,7,0
642,917,29,5,0
502,953,27,4,0
355,834,38,27,0
304,763,55,55,0
127,749,71,51,0
77,871,3,54,0
110,947,48,34,0
208,955,4,30,0
151,565,36,211,0
99,388,3,67,0
106,322,31,31,0
176,319,236,69,0
496,454,172,105,0
833,622,29,4,0
